date,temperature,precipitation,city,country,continent,latitude,longitude
1991-07-13,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-14,22.2,0.3,Bangalore,India,Asia,26.3,73.0167
1991-07-15,22.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-16,22.3,0.5,Bangalore,India,Asia,26.3,73.0167
1991-07-18,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-21,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-22,22.8,0.5,Bangalore,India,Asia,26.3,73.0167
1991-07-23,23.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-25,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-26,22.5,0.5,Bangalore,India,Asia,26.3,73.0167
1991-07-27,21.4,1.0,Bangalore,India,Asia,26.3,73.0167
1991-07-29,21.9,2.8,Bangalore,India,Asia,26.3,73.0167
1991-07-31,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-02,22.3,5.6,Bangalore,India,Asia,26.3,73.0167
1991-08-04,22.0,6.9,Bangalore,India,Asia,26.3,73.0167
1991-08-05,22.4,47.2,Bangalore,India,Asia,26.3,73.0167
1991-08-08,22.8,3.8,Bangalore,India,Asia,26.3,73.0167
1991-08-10,22.4,2.8,Bangalore,India,Asia,26.3,73.0167
1991-08-17,22.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-19,22.6,15.0,Bangalore,India,Asia,26.3,73.0167
1991-08-20,22.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-22,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-25,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-27,23.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-28,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-08-30,23.2,1.8,Bangalore,India,Asia,26.3,73.0167
1991-09-02,25.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-09-04,24.2,11.2,Bangalore,India,Asia,26.3,73.0167
1991-09-07,23.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-09-11,24.6,3.8,Bangalore,India,Asia,26.3,73.0167
1991-09-13,21.7,71.1,Bangalore,India,Asia,26.3,73.0167
1991-09-14,23.3,46.5,Bangalore,India,Asia,26.3,73.0167
1991-09-15,22.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-09-16,22.8,7.1,Bangalore,India,Asia,26.3,73.0167
1991-09-17,22.8,0.8,Bangalore,India,Asia,26.3,73.0167
1991-09-20,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-09-21,20.8,18.5,Bangalore,India,Asia,26.3,73.0167
1991-09-22,23.0,13.0,Bangalore,India,Asia,26.3,73.0167
1991-09-23,22.5,3.3,Bangalore,India,Asia,26.3,73.0167
1991-09-24,23.3,1.8,Bangalore,India,Asia,26.3,73.0167
1991-09-25,24.1,0.8,Bangalore,India,Asia,26.3,73.0167
1991-09-26,25.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-09-29,23.4,2.5,Bangalore,India,Asia,26.3,73.0167
1991-09-30,25.1,0.5,Bangalore,India,Asia,26.3,73.0167
1991-10-02,23.1,7.9,Bangalore,India,Asia,26.3,73.0167
1991-10-03,23.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-04,25.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-07,24.2,23.6,Bangalore,India,Asia,26.3,73.0167
1991-10-08,22.9,0.3,Bangalore,India,Asia,26.3,73.0167
1991-10-09,23.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-10,21.9,3.3,Bangalore,India,Asia,26.3,73.0167
1991-10-11,23.7,0.8,Bangalore,India,Asia,26.3,73.0167
1991-10-14,23.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-15,23.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-16,23.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-19,23.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-21,23.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-10-23,22.6,0.0,Bangalore,India,Asia,26.3,73.0167
